title,genres,description
Inception,"Sci-Fi Thriller Action","A skilled thief enters dreams to steal secrets and must plant an idea inside a target's mind."
Interstellar,"Sci-Fi Drama Adventure","A team of explorers travels through a wormhole to find a new home for humanity."
The Dark Knight,"Action Crime Drama","Batman faces a chaotic criminal mastermind who pushes Gotham City into moral conflict."
The Matrix,"Sci-Fi Action","A hacker discovers that reality is a simulation and joins a rebellion against machine control."
Toy Story,"Animation Family Comedy","A group of toys comes to life when humans are away and learns about friendship and loyalty."
Finding Nemo,"Animation Family Adventure","A cautious clownfish crosses the ocean to rescue his son with help from a forgetful friend."
The Lion King,"Animation Family Drama","A young lion prince must accept responsibility and reclaim his kingdom."
Titanic,"Romance Drama History","A young couple from different social classes falls in love aboard a doomed ocean liner."
La La Land,"Romance Musical Drama","An aspiring actress and a jazz musician fall in love while chasing dreams in Los Angeles."
The Notebook,"Romance Drama","Two young lovers are separated by class and time but remain connected by memory."
Parasite,"Thriller Drama Comedy","A poor family infiltrates a wealthy household, exposing class tension and hidden secrets."
Get Out,"Horror Mystery Thriller","A young man visits his girlfriend's family and discovers a disturbing hidden agenda."
A Quiet Place,"Horror Sci-Fi Drama","A family survives in silence while hunted by creatures that attack sound."
The Conjuring,"Horror Mystery Thriller","Paranormal investigators help a family terrorized by a dark presence in their farmhouse."
Avengers: Endgame,"Action Adventure Sci-Fi","Superheroes unite for a final mission to reverse a devastating universal catastrophe."
Guardians of the Galaxy,"Action Adventure Comedy","A band of misfits travels through space and becomes unlikely heroes."
Black Panther,"Action Adventure Sci-Fi","A new king protects a technologically advanced nation while facing a powerful challenger."
Joker,"Crime Drama Thriller","A lonely failed comedian descends into violence while society ignores his suffering."
Forrest Gump,"Drama Romance Comedy","A kind man witnesses major historical moments while following love, friendship, and destiny."
The Social Network,"Biography Drama","A college student creates a social media empire while facing lawsuits and broken friendships."
Moneyball,"Biography Sport Drama","A baseball manager uses data analysis to build a competitive team on a limited budget."
Whiplash,"Drama Music","An ambitious drummer faces an abusive instructor while pursuing greatness."
Inside Out,"Animation Family Comedy","Emotions inside a young girl's mind guide her through a difficult move."
Coco,"Animation Family Music","A boy enters the Land of the Dead to discover the truth about his family and music."
The Pursuit of Happyness,"Biography Drama","A struggling father works to build a better future for himself and his son."
Knives Out,"Mystery Comedy Crime","A detective investigates a wealthy author's death and uncovers family secrets."
John Wick,"Action Crime Thriller","A retired assassin returns to the criminal world after a personal loss."
The Hangover,"Comedy","Friends wake up after a wild night in Las Vegas and must find the missing groom."
The Devil Wears Prada,"Comedy Drama","A young assistant works for a demanding fashion magazine editor and questions her priorities."
Soul,"Animation Family Fantasy","A music teacher explores purpose and passion after an unexpected journey beyond life."
